"","name","address","type","lat","lng"
"173","Truc Lam Pagoda & Cable Car ","Dalat & Around","Religious",10.7643715,20.3785433
"174","Ho Chi Minh Museum","Hanoi","Museums & Galleries",21.0356034,10.7682712
"175","Marc Hoa Binh Pagoda","Around Bac Lieu","Other",NA,NA
"176","22 Ly Tu Trong","Ho Chi Minh City","Historic",NA,10.0343585
"177","Tay Phuong Pagoda","Thay & Tay Phuong Pagodas","Religious",NA,105.5850506
"178","Thap Doi Cham Towers","Quy Nhon","Religious",NA,NA
"179","Saigon Central Mosque","Ho Chi Minh City","Religious",10.7762378,106.7043912
"180","Duong Dong","Phu Quoc Island","Neighbourhoods & Villages",10.22644,103.965199
"181","Ong Pagoda","Tra Vinh","Religious",10.2363559,NA
"182","Sao Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",32.772001,NA
"183","Giant Jesus","Vung Tau","Landmarks & Monuments",NA,NA
"184","President Ho Chi Minh Temple","Tra Vinh","Religious",22.9777449,NA
"185","Muong Cultural Museum","Hoa Binh","Museums & Galleries",NA,NA
"186","Quang Trung Museum","South-East Coast","Museums & Galleries",22.680014,113.2499364
"187","Marble Mountains","Around Danang","Other",41.5787,-123.092
"188","Ako Dhong Village","Buon Ma Thuot","Neighbourhoods & Villages",NA,NA
"189","Nui Coc Reservoir","Northeast Vietnam","Other",NA,NA
"190","Markets","Ha Tien","Markets & Bazaars",NA,40.030327
"191","Other Groups","My Son","Religious",NA,NA
"192","Imperial Citadel","Hanoi","Historic",NA,-82.8889491
"193","Bunker of General Giap","Pa Khoang Lake","Other",NA,NA
"194","Cannon Fort","Cat Ba Island","Landmarks & Monuments",38.7850035,18.9336371
"195","Cu Chi Wildlife Rescue Station","Cu Chi","Nature & Wildlife",NA,NA
"196","Thai Hoa Palace","Hue","Castles, Palaces & Mansions",37.8210601,NA
"197","Cua Can & Ong Lan Beaches","Phu Quoc Island","Beaches, Islands & Waterfronts",10.3043743,NA
"198","Cat Tien National Park","Cat Tien National Park","Parks & Gardens",11.419119,NA
"199","Buddha","Nha Trang","Landmarks & Monuments",38.792973,NA
"200","Floating Houses","Chau Doc","Architecture",23.038525,23.0886941
"201","Kh’leang Pagoda","Soc Trang","Religious",9.6102441,105.9776562
"202","Memorial House","Hanoi","Architecture",35.6485724,53.3039972
"203","Venerable Thich Quang Duc Memorial","Ho Chi Minh City","Landmarks & Monuments",NA,NA
"204","Old French Prison & Museum","Son La","Museums & Galleries",NA,NA
"205","My Khe","China Beach","Beaches, Islands & Waterfronts",NA,20.8170812
"206","Hang En","Phong Nha-Ke Bang National Park","Natural Landmarks",46.9592,22.3401445
"207","Can Gio Mangrove Forest","Around Ho Chi Minh City","Other",NA,NA
"208","Ong Ngu","Cham Islands","Religious",10.9224866,16.4253365
"209","Van Long Nature Reserve","Van Long Nature Reserve","Parks & Gardens",20.3625049,105.8825974
"210","Nine Holy Cannons","Hue","Other",42.4281,NA
"211","Duc Thanh","Hue","Other",37.450805,NA
"212","Forbidden Purple City","Hue","Historic",NA,NA
"213","Cham Cultural Centre","Phan Rang & Thap Cham","Museums & Galleries",NA,NA
"214","Duong Long Cham Towers","Cha Ban Cham Area","Architecture",NA,NA
"215","Dong Ho","Ha Tien","Other",21.0424598,31.221517
"216","Phu Quoc National Park","Phu Quoc Island","Parks & Gardens",NA,19.2666667
"217","Ngoc Tien Monastery","Ha Tien","Religious",NA,104.4985199
"218","Tam Bao Pagoda","Ha Tien","Religious",NA,10.3850638
"219","Military Museum","Ho Chi Minh City","Museums & Galleries",NA,116.323875
"220","Bai Dat Doc","Con Dao Islands","Beaches, Islands & Waterfronts",NA,106.6309724
"221","Ho Chi Minh’s Stilt House","Hanoi","Historic",NA,NA
"222","Con Son Pagoda Complex","Northeast Vietnam","Other",NA,NA
"223","Dak Lak Museum","Buon Ma Thuot","Museums & Galleries",NA,NA
"224","Museum of Ethnology","Northeast Vietnam","Other",18.786043,NA
"225","Military Museum","Can Tho","Museums & Galleries",39.907449,116.323875
"226","Flag Tower","Hue","Architecture",21.0325,39.1167534
"227","Huong Pagoda","Sa Dec","Religious",20.4655449,16.0017012
"228","San Chim Vam Ho Bird Sanctuary","Mekong Delta","Other",32.9087367,-97.584191
"229","Tran Duong House","Hoi An","Historic",10.3372512,105.4724032
"230","Dien Tho Residence","Hue","Architecture",NA,NA
"231","Lung Cu","Dong Van","Landmarks & Monuments",NA,23.3033201
"232","Bich Dong Pagoda","Tam Coc","Religious",NA,105.9162927
"233","Tam Bao Pagoda","Rach Gia","Architecture",NA,10.3850638
"234","Mua Cave","Ninh Binh Province","Natural Landmarks",NA,NA
"235","Elephant Falls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,25.536127
"236","Thanh Toan Bridge","Around Hue","Architecture",NA,NA
"237","Temple of King Hung Vuong","Ho Chi Minh City","Religious",NA,NA
"238","Temples","Hoa Lu","Religious",17.4491064,53.3602882
"239","Blue Sky Crocodile Land","Long Xuyen","Farms, Workshops & Factories",NA,NA
"240","War Martyrs Monument","Cao Lanh","Landmarks & Monuments",42.5831766,21.576459
"241","Bach Ma National Park","Bach Ma National Park","Parks & Gardens",16.1820039,107.9057813
"242","Cu Chi War History Museum","Cu Chi","Museums & Galleries",NA,NA
"243","Pho Binh","Ho Chi Minh City","Historic",15.5532603,10.2524909
"244","French Field Guns","Vung Tau","Landmarks & Monuments",NA,NA
"245","Royal Fine Arts Museum","Hue","Museums & Galleries",51.2088192,50.8419778
"246","Uncle Ho Temple","Tra Vinh","Other",NA,105.43836
"247","Chinese All-Community Assembly Hall","Hoi An","Architecture",NA,NA
"248","Phu Binh Camp","Con Dao Islands","Architecture",NA,NA
"249","Queen’s Beach","Quy Nhon","Beaches, Islands & Waterfronts",NA,NA
"250","Po Nagar","Nha Trang","Religious",NA,NA
"251","Pongour Falls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,NA
"252","Tiger Falls","Dalat & Around","Other",46.4038889,-87.5755556
"253","Immaculate Conception Cathedral","Kon Tum","Religious",35.125844,25.9024981
"254","Lang Dinh An","Dalat & Around","Other",20.7840103,16.5073215
"255","Cholon Jamail Mosque","Ho Chi Minh City","Religious",NA,NA
"256","To Mieu Temple","Hue","Religious",NA,NA
"257","Beach","Cham Islands","Beaches, Islands & Waterfronts",35.7057013,46.9234775
"258","Con Thien Firebase","Demilitarised Zone (Dmz)","Historic",NA,NA
"259","Duyen Hai","Can Gio","Neighbourhoods & Villages",9.6356978,106.50538
"260","Ton Duc Thang Museum","Ho Chi Minh City","Museums & Galleries",10.7773988,106.7063976
"261","Vietnamese Women’s Museum","Hanoi","Museums & Galleries",NA,NA
"262","Presidential Palace","Hanoi","Architecture",NA,NA
"263","Museum of Trading Ceramics","Hoi An","Museums & Galleries",NA,NA
"264","Khmer Museum","Soc Trang","Museums & Galleries",NA,NA
"265","Assembly Hall of the Chaozhou Chinese Congregation","Hoi An","Architecture",NA,NA
"266","Con Dao Museum","Con Dao Islands","Other",NA,NA
"267","Phat Lon Pagoda","Rach Gia","Religious",NA,NA
"268","Ben Hai River","Demilitarised Zone (Dmz)","Lakes, Rivers & Waterfalls",17.0069431,107.0535743
"269","Chuc Thanh Pagoda","Hoi An","Religious",NA,NA
"270","Group C","My Son","Religious",38.7349514,39.6185587
"271","Museum of Traditional Vietnamese Medicine","Ho Chi Minh City","Museums & Galleries",10.7761634,106.6719134
"272","Cuc Phuong National Park","Cuc Phuong National Park","Parks & Gardens",20.3166667,105.6083333
"273","Mubarak Mosque","Chau Doc","Religious",NA,NA
"274","Nam Thien Nhat Tru","Around Ho Chi Minh City","Other",NA,NA
"275","Gia Long Falls","South-West Highlands","Other",NA,NA
"276","Cua Lo Beach","Vinh","Other",NA,NA
"277","Vung Bau, Dai & Thom Beaches","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,NA
"278","Bay Canh","Con Dao Islands","Beaches, Islands & Waterfronts",8.6689731,106.6733441
