"","name","address","type","fullLocation","lat","lng"
"90","Vuc Quanh Outdoor War Museum","Dong Hoi & Around",NA,"Vuc Quanh Outdoor War Museum, Dong Hoi & Around",NA,NA
"91","Royal Tombs","Hue",NA,"Royal Tombs, Hue",NA,NA
"92","Quan Cong Temple","Hoi An",NA,"Quan Cong Temple, Hoi An",NA,NA
"93","Tomb of Khai Dinh","Hue",NA,"Tomb of Khai Dinh, Hue",NA,NA
"94","Lat & Lang Dinh An Villages","Dalat & Around",NA,"Lat & Lang Dinh An Villages, Dalat & Around",NA,NA
"95","Tay An Pagoda","Sam Mountain",NA,"Tay An Pagoda, Sam Mountain",NA,NA
"96","Thien Hau Pagoda","Ho Chi Minh City",NA,"Thien Hau Pagoda, Ho Chi Minh City",NA,NA
"97","Ha Chuong Hoi Quan Pagoda","Ho Chi Minh City",NA,"Ha Chuong Hoi Quan Pagoda, Ho Chi Minh City",NA,NA
"98","Phu Dung Pagoda","Ha Tien",NA,"Phu Dung Pagoda, Ha Tien",NA,NA
"99","Bao Dai’s Summer Palace","Dalat",NA,"Bao Dai’s Summer Palace, Dalat",NA,NA
"100","Vinh Moc Tunnels","Demilitarised Zone (Dmz)",NA,"Vinh Moc Tunnels, Demilitarised Zone (Dmz)",NA,NA
"101","Bac Lieu Bird Sanctuary","Around Bac Lieu",NA,"Bac Lieu Bird Sanctuary, Around Bac Lieu",NA,NA
"102","Mine Action Visitor Centre","Dong Ha",NA,"Mine Action Visitor Centre, Dong Ha",NA,NA
"103","An Thoi Islands","Phu Quoc Island",NA,"An Thoi Islands, Phu Quoc Island",NA,NA
"104","Ba Vi National Park","Ba Vi National Park",NA,"Ba Vi National Park, Ba Vi National Park",NA,NA
"105","Phong Dien Floating Market","Around Can Tho",NA,"Phong Dien Floating Market, Around Can Tho",NA,NA
"106","Ba Om Pond & Ang Pagoda","Tra Vinh",NA,"Ba Om Pond & Ang Pagoda, Tra Vinh",NA,NA
"107","Kim Lien","Vinh",NA,"Kim Lien, Vinh",NA,NA
"108","Tao Dan Park","Ho Chi Minh City",NA,"Tao Dan Park, Ho Chi Minh City",NA,NA
"109","Tomb of Nguyen Sinh Sac","Cao Lanh",NA,"Tomb of Nguyen Sinh Sac, Cao Lanh",NA,NA
"110","Ben Duoc Tunnels","Around Ho Chi Minh City",NA,"Ben Duoc Tunnels, Around Ho Chi Minh City",NA,NA
"111","Quan Am Pagoda","Ho Chi Minh City",NA,"Quan Am Pagoda, Ho Chi Minh City",NA,NA
"112","Ho Quyen","Around Hue",NA,"Ho Quyen, Around Hue",NA,NA
"113","Ben Dinh","Cu Chi",NA,"Ben Dinh, Cu Chi",NA,NA
"114","Fish Sauce Factory","Phu Quoc Island",NA,"Fish Sauce Factory, Phu Quoc Island",NA,NA
"115","Tu Lan Caves","Phong Nha-Ke Bang National Park",NA,"Tu Lan Caves, Phong Nha-Ke Bang National Park",NA,NA
"116","Can Cau Market","Bac Ha",NA,"Can Cau Market, Bac Ha",NA,NA
"117","Nguyen Trung Truc Temple","Rach Gia",NA,"Nguyen Trung Truc Temple, Rach Gia",NA,NA
"118","Cu Chi Tunnels","Cu Chi",NA,"Cu Chi Tunnels, Cu Chi",NA,NA
"119","Hon Chong Promontory","Nha Trang",NA,"Hon Chong Promontory, Nha Trang",NA,NA
